Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/18230,1,0,28.994503999911103,28.994503999911103,28.994503999911103,28.994503999911103,118.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/183552,1,0,26.192085000275256,26.192085000275256,26.192085000275256,26.192085000275256,126.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/183697,1,0,29.667032999896037,29.667032999896037,29.667032999896037,29.667032999896037,129.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/184988,6,0,24,26.575904999996663,21.99230099995475,34.23892299997533,118.0,0.02113944647795929,0.0,24,24,31,31,34,34,34,34,34,34,34
GET,/products/186464,1,0,22.613119000197912,22.613119000197912,22.613119000197912,22.613119000197912,117.0,0.0035232410796598814,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/products/188391,2,0,24,25.6331720001981,23.63889800017205,27.627446000224154,124.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/188780,1,0,29.79532199969981,29.79532199969981,29.79532199969981,29.79532199969981,119.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/190854,1,0,27.63966700013043,27.63966700013043,27.63966700013043,27.63966700013043,119.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/19266,3,0,28,29.008126000007906,22.459020000042074,36.38645000000906,127.0,0.010569723238979645,0.0,28,28,36,36,36,36,36,36,36,36,36
GET,/products/193634,2,0,25,26.634041000079378,24.82240700010152,28.445675000057236,123.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/19475,1,0,33.125019000181055,33.125019000181055,33.125019000181055,33.125019000181055,126.0,0.0035232410796598814,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/products/19654,1,0,23.961960000178806,23.961960000178806,23.961960000178806,23.961960000178806,128.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/197635,2,0,25,26.966836499923375,24.958748000244668,28.97492499960208,118.0,0.007046482159319763,0.0,29,29,29,29,29,29,29,29,29,29,29
